Nivå 0;Nivå 0 navn;Nivå 1;Nivå 1 navn;Nivå 2;Nivå 2 navn;Nivå 3;Nivå 3 navn;Nivå 4;Nivå 4 navn;Nivå 5;Nivå 5 navn;Type;Nivå 6;Nivå 6 navn;Ytelsesksted?;Hjelpekolonne;BESKRIVELSE;ATTRIBUTE14;ATTRIBUTE15;CREATION_DATE;SUMMARY_FLAG;START_DATE_ACTIVE;END_DATE_ACTIVE;;Sisrte bruksdato;;;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;023900;AVSL NAV Hurdal;;;;;023900;AVSL NAV Hurdal;NAV-kontor;0239000;03.12.2013;N;;;;15.10.2022;;023900;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA01;Region Øst-Viken;028010;Drift NAV Øst-Viken;;;;;028010;NAV Øst-Viken Drift;Fylkeskontor;0280100;04.12.2018;N;;;;26.01.2023;;028010;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA01;Region Øst-Viken;028011;Regiondirektør Øst-Viken sentralt anvist;;;;;028011;Regiondirektør sentralt anvist;Fylkesledelse;028011;05.12.2018;N;;;;19.01.2023;;028011;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA01;Region Øst-Viken;028030;NAV Utviklingsenheten Øst-Viken;;;;;028030;NAV Utviklingsenheten Øst-Viken;Fylkeskontor;0280300;05.12.2018;N;;;;26.01.2023;;028030;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA01;Region Øst-Viken;028050;NAV Samfunnsenheten Øst-Viken;;;;;028050;NAV Samfunnsenheten Øst-Viken;Fylkeskontor;0280500;05.12.2018;N;;;;20.01.2023;;028050;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;028070;AVSL NAV Fellestjenester Stab Øst-Viken;;;;;028070;AVSL NAV Fellestjenester Stab Øst-Viken;;;05.12.2018;N;;24.09.2021;;11.01.2021;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA99;Spesialiserte kostnadssteder Øst-Viken;028330;NAV egne ansatte Øst-Viken;;;;2082999,8;028330;NAV egne ansatte Øst-Viken;Fylkeskontor;;05.02.2020;N;;;;10.01.2023;;028330;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA99;Spesialiserte kostnadssteder Øst-Viken;028400;NAV Midt-Viken Virtuelt oppfølgingsteam (kø);;;;707807,71;028400;NAV Midt-Viken Virtuelt oppfølgingsteam (kø);Fylkeskontor;;03.12.2013;N;;;;05.12.2022;;028400;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA99;Spesialiserte kostnadssteder Øst-Viken;028610;Rekrutteringsteamet for NAV Nedre Romerike;;;;383629;028610;Rekrutteringsteamet for NAV Nedre Romerike;Fylkeskontor;;11.05.2022;N;;;;25.01.2023;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA01;Region Øst-Viken;028700;NAV Tiltak Øst-Viken;;;;;028700;NAV Tiltak Øst-Viken;Fylkeskontor;0287000;03.12.2013;N;;;;26.01.2023;;028700;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA99;Spesialiserte kostnadssteder Øst-Viken;028800;UR NAV Forvaltning Ski;;;;;028800;UR NAV Forvaltning Ski;Fylkeskontor;;03.12.2013;N;;;;29.11.2022;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;028900;AVSL UR NAV Forvaltning Skedsmo;;;;8140;028900;AVSL UR NAV Forvaltning Skedsmo;;;03.12.2013;N;;24.09.2021;;07.09.2017;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;029000;AVSL MIDLERTIDIG K-STED AKERSHUS;;;;;029000;AVSL MIDLERTIDIG K-STED AKERSHUS;;;03.12.2013;N;01.07.2006;13.06.2013;;23.01.2014;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;029100;AVSL Fylkesledelse;;;;;029100;AVSL Fylkesledelse;;;03.12.2013;N;;04.06.2019;;26.05.2021;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;029101;AVSL Fylkesdirektør (sentralt anvist);;;;;029101;AVSL Fylkesdirektør (sentralt anvist);;;03.12.2013;N;;04.06.2019;;30.04.2019;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;029200;AVSL Akershus marked og virksomhetsstyring;;;;;029200;AVSL Akershus marked og virksomhetsstyring;;;03.12.2013;N;;15.02.2020;;26.05.2021;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;029300;AVSL Akershus stab;;;;;029300;AVSL Akershus stab;;;03.12.2013;N;;24.09.2021;;16.01.2020;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA01;Region Øst-Viken;029301;NAV Dokumentsenter Lørenskog;;;;;029301;NAV Dokumentsenter Lørenskog;Fylkeskontor;0293010;06.04.2018;N;;;;26.01.2023;;029301;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA01;Region Øst-Viken;029351;NAV Dokumentsenter Sør Øst-Viken;;;;;029351;NAV Dokumentsenter Sør Øst-Viken;Fylkeskontor;0293510;05.12.2018;N;;;;31.10.2022;;029351;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;029400;AVSL Akershus kvalitet og bruker;;;;;029400;AVSL Akershus kvalitet og bruker;;;03.12.2013;N;;15.02.2020;;06.09.2019;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;029500;AVSL Kommunikasjon;;;;;029500;AVSL Kommunikasjon;;;03.12.2013;N;;15.02.2020;;02.07.2019;;#I/T;;;;;
